Datetime,AAPL,AMD,AMZN,GOOG,META,MSFT,NVDA,TSLA,TSM
2022-11-28 04:00:00-05:00,146.81,74.5,93.12,99.0,111.0,246.7,161.93,181.59,81.9
2022-11-28 04:15:00-05:00,146.0,74.24,92.89,96.96,110.36,245.71,160.75,179.34,80.35
2022-11-28 04:30:00-05:00,145.95,74.19,92.88,97.08,110.4,245.76,160.75,179.8,80.32
2022-11-28 04:45:00-05:00,145.67,74.09,92.95,97.0,110.33,245.99,160.79,179.3,80.31
2022-11-28 05:00:00-05:00,145.24,73.98,92.3,96.6,110.25,245.4,160.1,178.41,80.07
2022-11-28 05:15:00-05:00,145.35,74.09,92.37,96.8,110.1,245.29,160.34,178.16,80.17
2022-11-28 05:30:00-05:00,145.41,74.1,92.57,96.98,110.28,245.62,160.77,178.44,80.16
2022-11-28 05:45:00-05:00,145.45,74.1,92.6,97.04,110.25,245.7,160.7,178.85,80.16
2022-11-28 06:00:00-05:00,145.32,74.02,92.55,96.99,110.17,245.76,160.65,178.68,80.22
2022-11-28 06:15:00-05:00,145.4,74.19,92.7,97.01,110.24,246.03,160.6,179.11,80.26
2022-11-28 06:30:00-05:00,145.46,74.09,92.68,97.07,110.39,245.93,160.7,178.89,80.4
2022-11-28 06:45:00-05:00,145.26,74.14,92.96,96.93,110.3,245.65,160.52,178.93,80.4
2022-11-28 07:00:00-05:00,145.44,74.37,93.54,96.99,110.58,246.0,160.96,179.48,80.42
2022-11-28 07:15:00-05:00,145.79,74.29,94.19,97.04,110.56,246.22,161.13,179.13,80.38
2022-11-28 07:30:00-05:00,145.31,74.16,94.05,97.05,110.65,246.03,160.91,179.2,80.35
2022-11-28 07:45:00-05:00,145.5,74.24,93.9,97.07,110.68,246.09,161.15,179.82,80.46
2022-11-28 08:00:00-05:00,145.48,74.35,93.5001,97.02,110.7,246.32,160.864,179.8364,80.43
2022-11-28 08:15:00-05:00,145.21,74.07,93.91,96.95,110.75,245.66,160.99,179.79,80.31
2022-11-28 08:30:00-05:00,145.03,74.0,93.82,97.19,110.64,245.97,160.77,179.605,80.27
2022-11-28 08:45:00-05:00,145.08,74.07,94.08,97.37,110.7,246.06,160.8,179.4085,80.18
2022-11-28 09:00:00-05:00,145.3,74.18,94.35,97.35,110.5,246.29,160.84,179.78,80.3885
2022-11-28 09:30:00-05:00,145.25,73.95999908447266,94.01000213623047,97.19999694824219,110.77999877929688,245.7899932861328,160.25999450683594,180.17990112304688,80.2699966430664
2022-11-28 09:45:00-05:00,146.48500061035156,75.12000274658203,95.875,97.68000030517578,110.95999908447266,245.41000366210938,163.0,183.9403076171875,80.93000030517578
2022-11-28 10:00:00-05:00,145.97000122070312,75.23999786376953,95.01000213623047,97.05999755859375,110.55000305175781,244.89999389648438,162.97999572753906,184.42999267578125,80.69999694824219
2022-11-28 10:15:00-05:00,145.6699981689453,74.8499984741211,94.87830352783203,96.83999633789062,110.68000030517578,244.3300018310547,162.47329711914062,185.94000244140625,80.63999938964844
2022-11-28 10:30:00-05:00,145.1300048828125,74.26069641113281,94.16999816894531,96.5199966430664,109.43000030517578,243.0399932861328,161.0800018310547,184.16990661621094,79.98999786376953
2022-11-28 10:45:00-05:00,145.4290008544922,74.25,93.92500305175781,96.5999984741211,109.28500366210938,243.2209930419922,161.02999877929688,184.83999633789062,80.19999694824219
2022-11-28 11:00:00-05:00,145.0050048828125,73.9208984375,94.11000061035156,96.21199798583984,109.37000274658203,242.99000549316406,160.42999267578125,184.55369567871094,80.04499816894531
2022-11-28 11:15:00-05:00,145.3800048828125,74.19000244140625,94.51000213623047,96.44760131835938,109.27349853515625,242.63999938964844,160.93800354003906,186.0447998046875,80.13999938964844
2022-11-28 11:30:00-05:00,145.093994140625,74.20999908447266,94.44999694824219,96.66999816894531,109.26499938964844,242.9199981689453,160.91000366210938,186.98809814453125,79.88500213623047
2022-11-28 11:45:00-05:00,145.13499450683594,74.00499725341797,94.84819793701172,96.66000366210938,109.2300033569336,243.02999877929688,160.60000610351562,188.1728973388672,79.8949966430664
2022-11-28 12:00:00-05:00,145.16000366210938,74.06999969482422,95.20500183105469,96.70500183105469,109.27999877929688,243.11000061035156,161.06500244140625,187.52999877929688,80.12000274658203
2022-11-28 12:15:00-05:00,144.9600067138672,73.69000244140625,94.41000366210938,96.43000030517578,108.97000122070312,242.3699951171875,160.27999877929688,187.22500610351562,79.94000244140625
2022-11-28 12:30:00-05:00,145.1750030517578,73.75499725341797,94.47000122070312,96.56500244140625,109.26740264892578,242.80999755859375,160.91000366210938,187.02000427246094,79.8499984741211
2022-11-28 12:45:00-05:00,145.25999450683594,73.69000244140625,94.77999877929688,96.83000183105469,109.48999786376953,242.9600067138672,161.11000061035156,188.0189971923828,79.62999725341797
2022-11-28 13:00:00-05:00,144.82000732421875,73.4000015258789,94.43000030517578,96.41999816894531,109.23999786376953,242.0449981689453,160.1999969482422,186.375,79.41999816894531
2022-11-28 13:15:00-05:00,144.9499053955078,73.76950073242188,94.36000061035156,96.41999816894531,109.33999633789062,242.25,160.51319885253906,185.99000549316406,79.36000061035156
2022-11-28 13:30:00-05:00,144.91000366210938,73.87000274658203,94.40809631347656,96.52999877929688,109.25,242.42999267578125,160.63999938964844,186.08999633789062,79.5999984741211
2022-11-28 13:45:00-05:00,144.6750030517578,73.54000091552734,94.12000274658203,96.41999816894531,109.19000244140625,242.2899932861328,160.25999450683594,184.82000732421875,79.4800033569336
2022-11-28 14:00:00-05:00,143.96499633789062,73.23999786376953,93.86000061035156,96.22000122070312,109.22000122070312,241.60000610351562,159.60000610351562,184.08999633789062,79.4000015258789
2022-11-28 14:15:00-05:00,143.62420654296875,73.05000305175781,93.70500183105469,95.97100067138672,108.9800033569336,241.10000610351562,159.018798828125,183.1999969482422,79.13999938964844
2022-11-28 14:30:00-05:00,143.5449981689453,72.88500213623047,94.00990295410156,95.94999694824219,109.0199966430664,240.94000244140625,159.05999755859375,183.67999267578125,79.125
2022-11-28 14:45:00-05:00,143.97500610351562,73.01000213623047,94.11000061035156,96.27999877929688,109.19000244140625,241.47999572753906,159.1999969482422,184.2100067138672,79.3499984741211
2022-11-28 15:00:00-05:00,143.94000244140625,72.87000274658203,93.98999786376953,96.32499694824219,109.0,241.6199951171875,159.0500030517578,183.69000244140625,79.36000061035156
2022-11-28 15:15:00-05:00,143.77000427246094,72.66999816894531,93.6449966430664,96.125,108.625,241.17999267578125,158.2751007080078,183.14999389648438,79.18000030517578
2022-11-28 15:30:00-05:00,143.80999755859375,72.75,93.54000091552734,95.94999694824219,108.46499633789062,240.86000061035156,157.74000549316406,182.9199981689453,79.16000366210938
2022-11-28 15:45:00-05:00,144.11000061035156,73.00080108642578,93.82499694824219,96.11000061035156,108.80000305175781,241.49000549316406,158.03500366210938,183.5500030517578,79.17500305175781
2022-11-28 16:00:00-05:00,144.21,73.205,93.96,96.25,108.82,241.77,158.3,182.93,79.28
2022-11-28 16:15:00-05:00,144.45,73.18,94.17,96.2701,108.85,241.11,158.26,182.89,79.22
2022-11-28 16:30:00-05:00,144.47,73.12,94.085,96.285,108.8,240.99,158.18,183.07,79.22
2022-11-28 16:45:00-05:00,144.5,73.15,94.13,96.3401,108.83,240.99,158.28,183.05,79.22
2022-11-28 17:00:00-05:00,144.51,73.15,94.1126,96.41,108.9,241.25,158.47,183.22,79.2
2022-11-28 17:15:00-05:00,144.42,73.11,94.05,96.42,108.83,241.08,158.3,183.145,79.2
2022-11-28 17:30:00-05:00,144.42,73.05,93.97,96.34,108.85,241.06,158.35,183.13,79.25
2022-11-28 17:45:00-05:00,144.38,72.93,94.04,96.33,108.82,241.15,158.4,183.21,79.32
2022-11-28 18:00:00-05:00,144.36,72.91,93.99,96.35,108.84,241.15,158.28,183.28,79.25
