Datetime,AAPL,AMD,AMZN,GOOG,META,MSFT,NVDA,TSLA,TSM
2022-11-28 04:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 04:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 04:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 04:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 05:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 05:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 05:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 05:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 06:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 06:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 06:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 06:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 07:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 07:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 07:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 07:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 08:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 08:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 08:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 08:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 09:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 09:30:00-05:00,7792628,4882004,10598595,1713378,2378385,1560726,3149861,8985452,1675950
2022-11-28 09:45:00-05:00,3278434,2937168,4626487,997402,1072880,966614,1783662,5312976,606460
2022-11-28 10:00:00-05:00,3282539,2969714,3815776,686316,866919,771799,1553872,5904128,359806
2022-11-28 10:15:00-05:00,2824965,2026601,3515537,1101520,1750147,954335,1430446,5014271,675252
2022-11-28 10:30:00-05:00,1943898,1523172,2651979,466726,835762,735317,860980,3587381,403300
2022-11-28 10:45:00-05:00,1968747,1624154,2559372,599903,773678,533502,987282,3287159,446857
2022-11-28 11:00:00-05:00,2474818,1539624,2950110,544263,803195,1226199,965167,3477323,263537
2022-11-28 11:15:00-05:00,1637218,1129079,2352912,456868,599823,649553,768321,3878334,551843
2022-11-28 11:30:00-05:00,1630438,933476,2412592,360560,593031,429547,565340,4223808,299806
2022-11-28 11:45:00-05:00,1109945,947724,2297966,403573,592654,460669,651839,3260457,182204
2022-11-28 12:00:00-05:00,2410092,1773192,3260126,830428,1040798,837971,1247994,4132973,284439
2022-11-28 12:15:00-05:00,1256286,1072382,1647893,329452,568644,477179,660976,2229324,225874
2022-11-28 12:30:00-05:00,963507,1115422,1330065,278335,419255,519179,573839,2823012,419263
2022-11-28 12:45:00-05:00,1368714,1211139,1559807,327197,502334,662630,860679,2327490,545112
2022-11-28 13:00:00-05:00,1330602,1236262,1436789,322364,526478,425155,562496,2529351,391422
2022-11-28 13:15:00-05:00,1243476,850379,1666369,344402,703839,311015,431647,1896051,278272
2022-11-28 13:30:00-05:00,994744,961896,1277356,346943,499974,265918,534520,2181744,198241
2022-11-28 13:45:00-05:00,2684817,1235533,1729395,377636,485922,469073,807160,3004470,275807
2022-11-28 14:00:00-05:00,1953858,1400377,1887883,459742,642331,322729,715218,3240703,517475
2022-11-28 14:15:00-05:00,1765750,1055349,1764963,334197,423852,384641,655093,3054763,249165
2022-11-28 14:30:00-05:00,1910226,1403011,1704417,381303,511487,572781,661183,2838727,243084
2022-11-28 14:45:00-05:00,1654225,994403,1175242,369630,375908,433008,604341,1984837,193702
2022-11-28 15:00:00-05:00,1806442,1114760,2153081,408293,547818,733542,882138,2119789,290415
2022-11-28 15:15:00-05:00,1838090,1217803,2103783,488157,722141,601450,1125918,2608723,346988
2022-11-28 15:30:00-05:00,2920258,1763601,2094611,651888,786698,900166,1378624,2893943,1024753
2022-11-28 15:45:00-05:00,5217494,3364673,4331749,1983992,1910344,2320187,2254499,3636034,1374607
2022-11-28 16:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 16:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 16:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 16:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 17:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 17:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 17:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 17:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 18:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 18:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 18:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-28 18:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 04:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 04:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 04:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 04:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 05:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 05:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 05:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 05:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 06:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 06:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 06:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 06:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 07:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 07:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 07:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 07:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 08:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 08:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 08:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 08:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 09:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 09:30:00-05:00,5805528,4626498,5656230,1269099,3375233,2240386,2947979,8339946,1751020
2022-11-29 09:45:00-05:00,3671165,3938358,3515859,784959,1522943,702795,1473518,5302776,978178
2022-11-29 10:00:00-05:00,3774381,3161021,3249555,784888,1044672,605104,2065059,4981586,463365
2022-11-29 10:15:00-05:00,2770896,2702480,2631024,847842,1140122,479356,1312500,5368302,322549
2022-11-29 10:30:00-05:00,2373241,2826147,2598808,577763,914189,466843,1566150,3747820,276072
2022-11-29 10:45:00-05:00,3858988,2208543,2750773,630301,650038,383567,1262689,4962069,662471
2022-11-29 11:00:00-05:00,6148183,3065321,3825349,867646,852369,926117,1847603,4573701,653486
2022-11-29 11:15:00-05:00,6183528,2447010,3584216,751970,792957,764075,1357639,3247699,509061
2022-11-29 11:30:00-05:00,2960590,1596878,2447800,558456,495648,446062,966600,3121063,390102
2022-11-29 11:45:00-05:00,2816695,1368149,2637149,520384,410744,447405,889818,3103101,340891
2022-11-29 12:00:00-05:00,2476636,1391061,1251671,469500,377804,326685,793941,1836842,208951
2022-11-29 12:15:00-05:00,2106570,1168792,1447514,379352,316873,442357,717747,1874170,138438
2022-11-29 12:30:00-05:00,2025651,1241995,1739506,389697,461036,550785,714922,1691743,205810
2022-11-29 12:45:00-05:00,1543675,838929,1116385,527329,433238,268165,672168,1406788,139398
2022-11-29 13:00:00-05:00,1444819,1547659,1274801,520193,378413,331659,599630,1751795,228167
2022-11-29 13:15:00-05:00,2528210,1752912,1773137,448663,530789,403658,818617,2437511,202637
2022-11-29 13:30:00-05:00,1982653,1074615,1602200,413988,656257,394089,754330,2427257,137242
2022-11-29 13:45:00-05:00,1857702,1125873,1362129,582641,450038,292276,762446,3307646,153305
2022-11-29 14:00:00-05:00,1927501,1413982,1991566,599555,535715,533193,774987,2398881,270348
2022-11-29 14:15:00-05:00,1403223,888367,1435943,501058,746478,266936,621512,2214288,242546
2022-11-29 14:30:00-05:00,1791692,962289,1300146,506026,810429,336194,621915,1833919,225172
2022-11-29 14:45:00-05:00,2174564,873023,1331051,369775,665170,244619,569378,1610344,146429
2022-11-29 15:00:00-05:00,2018884,1280057,1149822,480106,711175,371173,705603,2434199,204065
2022-11-29 15:15:00-05:00,2015990,1403076,2146562,504652,721614,422140,861929,2329233,278687
2022-11-29 15:30:00-05:00,2844595,2057754,2054763,726955,902455,748661,1097933,2241941,263487
2022-11-29 15:45:00-05:00,6061616,2461531,3952549,1225828,1434881,1317334,1584012,2818141,666913
2022-11-29 16:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 16:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 16:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 16:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 17:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 17:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 17:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 17:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 18:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 18:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 18:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-29 18:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 04:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 04:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 04:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 04:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 05:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 05:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 05:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 05:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 06:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 06:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 06:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 06:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 07:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 07:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 07:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 07:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 08:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 08:15:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 08:30:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 08:45:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 09:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-11-30 09:30:00-05:00,7170985,6156601,8022752,1577240,2171655,2236869,3307256,8509901,1968368
2022-11-30 09:45:00-05:00,3222966,4170930,3596769,930186,1026269,844122,1819423,4521387,934660
2022-11-30 10:00:00-05:00,2493784,2801789,3702225,756352,1042137,737813,1719553,3925793,851297
2022-11-30 10:15:00-05:00,1828380,3024777,2328360,669033,971296,607693,1303105,3288799,645266
2022-11-30 10:30:00-05:00,1848755,2025698,2178696,522758,698795,553965,1089933,2661353,383835
2022-11-30 10:45:00-05:00,1981193,1482014,1585182,498849,790313,608970,1185238,2399572,341775
2022-11-30 11:00:00-05:00,1789925,1874627,1552510,544111,1274510,520389,1368316,2061626,329604
2022-11-30 11:15:00-05:00,2014378,1396470,1456723,471201,729716,432871,782659,2452915,464375
2022-11-30 11:30:00-05:00,1709675,1404376,1455761,541349,2227410,492415,1142962,1928411,692185
2022-11-30 11:45:00-05:00,1421709,1429755,1278869,457088,773066,582088,901531,1879679,479854
2022-11-30 12:00:00-05:00,1162921,1030725,1337680,493758,532819,399653,760585,2119410,330555
2022-11-30 12:15:00-05:00,1814684,1815591,1678593,447008,692928,456473,946703,1981779,424241
2022-11-30 12:30:00-05:00,1430305,1175203,1581854,443342,531534,312864,949121,1337239,390503
2022-11-30 12:45:00-05:00,1396879,1051372,976905,435541,557927,317457,709347,1479027,311068
2022-11-30 13:00:00-05:00,1276730,1019766,1052785,519110,540820,363774,666288,1517909,284379
2022-11-30 13:15:00-05:00,975083,859837,1393395,385564,400852,512518,565250,941155,239810
2022-11-30 13:30:00-05:00,5375392,4993238,5650678,1583610,2208151,2157624,2966764,5550655,916812
