Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-28 04:00:00-05:00,93.12,93.48,92.96,93.0,0,0,0
2022-11-28 04:01:00-05:00,93.08,93.11,93.08,93.11,0,0,0
2022-11-28 04:02:00-05:00,93.1,93.1,93.0,93.0,0,0,0
2022-11-28 04:03:00-05:00,93.03,93.05,92.95,92.95,0,0,0
2022-11-28 04:04:00-05:00,92.97,93.04,92.95,92.98,0,0,0
2022-11-28 04:05:00-05:00,92.95,92.98,92.88,92.94,0,0,0
2022-11-28 04:06:00-05:00,92.9,92.94,92.87,92.93,0,0,0
2022-11-28 04:07:00-05:00,92.93,92.95,92.84,92.87,0,0,0
2022-11-28 04:08:00-05:00,92.88,92.9,92.78,92.84,0,0,0
2022-11-28 04:09:00-05:00,92.86,92.92,92.83,92.88,0,0,0
2022-11-28 04:10:00-05:00,92.89,92.95,92.85,92.95,0,0,0
2022-11-28 04:11:00-05:00,92.85,92.96,92.85,92.96,0,0,0
2022-11-28 04:12:00-05:00,92.86,92.97,92.86,92.97,0,0,0
2022-11-28 04:13:00-05:00,92.97,92.97,92.86,92.86,0,0,0
2022-11-28 04:14:00-05:00,92.9,92.9,92.86,92.88,0,0,0
2022-11-28 04:15:00-05:00,92.89,92.97,92.89,92.9,0,0,0
2022-11-28 04:16:00-05:00,92.96,93.02,92.86,92.92,0,0,0
2022-11-28 04:17:00-05:00,92.92,92.92,92.85,92.86,0,0,0
2022-11-28 04:18:00-05:00,92.85,93.0,92.81,92.94,0,0,0
2022-11-28 04:19:00-05:00,92.94,92.95,92.9,92.95,0,0,0
2022-11-28 04:20:00-05:00,92.9,92.95,92.9,92.95,0,0,0
2022-11-28 04:21:00-05:00,92.95,92.95,92.9,92.9,0,0,0
2022-11-28 04:22:00-05:00,92.94,92.95,92.92,92.92,0,0,0
2022-11-28 04:23:00-05:00,92.98,92.98,92.95,92.97,0,0,0
2022-11-28 04:24:00-05:00,92.94,92.97,92.94,92.95,0,0,0
2022-11-28 04:25:00-05:00,92.99,92.99,92.96,92.96,0,0,0
2022-11-28 04:26:00-05:00,92.96,92.97,92.9,92.96,0,0,0
2022-11-28 04:27:00-05:00,92.92,92.95,92.9,92.9,0,0,0
2022-11-28 04:28:00-05:00,92.9,92.94,92.9,92.9,0,0,0
2022-11-28 04:29:00-05:00,92.9,92.9,92.88,92.88,0,0,0
2022-11-28 04:30:00-05:00,92.88,92.88,92.79,92.79,0,0,0
2022-11-28 04:31:00-05:00,92.8,92.86,92.8,92.86,0,0,0
2022-11-28 04:32:00-05:00,92.79,92.81,92.79,92.8,0,0,0
2022-11-28 04:33:00-05:00,92.8,92.84,92.75,92.84,0,0,0
2022-11-28 04:34:00-05:00,92.85,92.86,92.78,92.86,0,0,0
2022-11-28 04:35:00-05:00,92.85,92.85,92.84,92.85,0,0,0
2022-11-28 04:36:00-05:00,92.86,92.86,92.82,92.82,0,0,0
2022-11-28 04:37:00-05:00,92.82,92.9,92.82,92.9,0,0,0
2022-11-28 04:39:00-05:00,92.99,92.99,92.99,92.99,0,0,0
2022-11-28 04:40:00-05:00,92.98,92.98,92.98,92.98,0,0,0
