Datetime,AAPL_High,AMZN_High,GOOG_High,META_High,NFLX_High
2023-02-03 04:00:00-05:00,145.68,106.65,103.37,184.53,363.76
2023-02-03 04:01:00-05:00,145.68,106.65,103.37,184.53,363.76
2023-02-03 04:02:00-05:00,145.24,106.17,102.87,184.14,362.44
2023-02-03 04:03:00-05:00,145.16,106.11,102.85,183.97,362.44
2023-02-03 04:04:00-05:00,145.12,106.11,102.71,183.97,362.5
2023-02-03 04:05:00-05:00,145.12,106.17,102.71,183.81,362.5
2023-02-03 04:06:00-05:00,145.15,106.2,102.9,183.8,362.5
2023-02-03 04:07:00-05:00,145.25,106.2,103.0,183.8,362.5
2023-02-03 04:08:00-05:00,145.25,106.2,103.07,183.8,362.5
2023-02-03 04:09:00-05:00,145.25,106.24,103.25,183.8,362.5
2023-02-03 04:10:00-05:00,145.26,106.27,103.36,183.74,362.5
2023-02-03 04:11:00-05:00,145.33,106.28,103.42,183.74,362.59
2023-02-03 04:12:00-05:00,145.4,106.5,103.42,184.03,363.0
2023-02-03 04:13:00-05:00,145.4,106.5,103.42,184.03,363.32
2023-02-03 04:14:00-05:00,145.4,106.6,103.42,184.03,363.33
2023-02-03 04:15:00-05:00,145.39,106.65,103.42,184.01,363.45
2023-02-03 04:16:00-05:00,145.33,106.65,103.51,183.84,363.455
2023-02-03 04:17:00-05:00,145.33,106.65,103.51,183.8,363.455
2023-02-03 04:18:00-05:00,145.34,106.65,103.51,183.8,363.46
2023-02-03 04:19:00-05:00,145.5,106.65,103.52,183.8,363.4633333333333
2023-02-03 04:20:00-05:00,145.5,106.6,103.6,183.82,363.4766666666667
2023-02-03 04:21:00-05:00,145.5,106.6,103.6,183.9,363.49
2023-02-03 04:22:00-05:00,145.5,106.6,103.6,184.1,363.75
2023-02-03 04:23:00-05:00,145.5,106.53,103.6,184.12,363.75
2023-02-03 04:24:00-05:00,145.5,106.5,103.6,184.23,363.75
2023-02-03 04:25:00-05:00,145.5,106.48,103.6,184.31,363.68
2023-02-03 04:26:00-05:00,145.5,106.48,103.6,184.39,363.0
2023-02-03 04:27:00-05:00,145.5,106.41,103.6,184.45,362.94
2023-02-03 04:28:00-05:00,145.5,106.37,103.6,184.47,363.0
2023-02-03 04:29:00-05:00,145.5,106.37,103.6,184.47,363.59
2023-02-03 04:30:00-05:00,145.53,106.51,103.6,184.46,363.62
2023-02-03 04:31:00-05:00,145.6,106.6,103.67,184.47,363.89
2023-02-03 04:32:00-05:00,145.92,106.6,103.7,184.58,363.89
2023-02-03 04:33:00-05:00,145.92,106.6,103.79,184.61,363.89
2023-02-03 04:34:00-05:00,145.92,106.6,103.9,184.61,363.48
2023-02-03 04:35:00-05:00,145.89,106.6,103.9,184.61,363.4533333333333
2023-02-03 04:36:00-05:00,145.88,106.62,104.0,184.61,363.4533333333333
2023-02-03 04:37:00-05:00,145.89,106.62,104.12,184.61,363.54499999999996
2023-02-03 04:38:00-05:00,145.9,106.62,104.13,184.57,363.69
2023-02-03 04:39:00-05:00,145.94,106.8,104.13,184.57,363.88
2023-02-03 04:40:00-05:00,146.06,106.81,104.13,184.53,363.88666666666666
2023-02-03 04:41:00-05:00,146.11,106.85,104.2,184.53,363.8933333333333
2023-02-03 04:42:00-05:00,146.11,106.85,104.2,184.53,363.8933333333333
2023-02-03 04:43:00-05:00,146.11,106.88,104.2,184.6,363.8933333333333
2023-02-03 04:44:00-05:00,146.16,106.88,104.2,184.65,363.89
2023-02-03 04:45:00-05:00,146.16,106.88,104.19,184.65,363.74333333333334
2023-02-03 04:46:00-05:00,146.16,106.87,104.19,184.65,363.59666666666664
2023-02-03 04:47:00-05:00,146.21,106.87,104.19,184.4,363.59666666666664
2023-02-03 04:48:00-05:00,146.23,106.8,104.19,184.39,363.7166666666667
2023-02-03 04:49:00-05:00,146.23,106.74,104.17,184.38,363.85
2023-02-03 04:50:00-05:00,146.23,106.71,104.15,184.36,363.855
2023-02-03 04:51:00-05:00,146.1,106.71,104.09,184.36,363.855
2023-02-03 04:52:00-05:00,146.1,106.74,104.09,184.35,363.855
2023-02-03 04:53:00-05:00,146.17,106.74,104.125,184.35,363.8
2023-02-03 04:54:00-05:00,146.18,106.75,104.16,184.35,363.74
2023-02-03 04:55:00-05:00,146.18,106.79,104.19,184.37,363.74
2023-02-03 04:56:00-05:00,146.18,106.88,104.19,184.37,363.68
2023-02-03 04:57:00-05:00,146.18,106.88,104.19,184.37,363.62
2023-02-03 04:58:00-05:00,146.18,106.88,104.18,184.34,363.62
2023-02-03 04:59:00-05:00,146.17,106.78,104.18,184.2,363.59000000000003
2023-02-03 05:00:00-05:00,146.11,106.77,104.14,184.15,363.59000000000003
2023-02-03 05:01:00-05:00,146.09,106.77,104.14,184.15,363.5
2023-02-03 05:02:00-05:00,146.09,106.66,104.2,184.2,363.5
2023-02-03 05:03:00-05:00,146.1,106.66,104.2,184.21499999999997,363.5
2023-02-03 05:04:00-05:00,146.13,106.69,104.2,184.23,363.5
2023-02-03 05:05:00-05:00,146.13,106.69,104.2,184.23,363.5
2023-02-03 05:06:00-05:00,146.14,106.88,104.2,184.42,363.5
2023-02-03 05:07:00-05:00,146.19,106.88,104.2,184.6,363.5
2023-02-03 05:08:00-05:00,146.19,107.13,104.2,184.64,363.5
2023-02-03 05:09:00-05:00,146.19,107.13,104.2,184.64,363.49333333333334
2023-02-03 05:10:00-05:00,146.19,107.13,104.2,184.64,363.49333333333334
2023-02-03 05:11:00-05:00,146.17,107.0,104.2,184.52,363.495
2023-02-03 05:12:00-05:00,146.12,106.85,104.19,184.52,363.49666666666667
2023-02-03 05:13:00-05:00,146.03,106.81,104.16,184.5,363.49833333333333
2023-02-03 05:14:00-05:00,145.98,106.8,104.08500000000001,184.66,363.49833333333333
2023-02-03 05:15:00-05:00,145.94,106.8,104.01666666666667,184.66,363.49833333333333
2023-02-03 05:16:00-05:00,145.9,106.8,104.01666666666667,184.51,363.495
2023-02-03 05:17:00-05:00,145.85,106.8,104.01666666666667,184.51,363.49
2023-02-03 05:18:00-05:00,145.84,106.86,104.01666666666667,184.29,363.48
2023-02-03 05:19:00-05:00,145.82,106.86,104.01,184.29,363.175
2023-02-03 05:20:00-05:00,145.79,106.86,104.0,184.29,363.175
2023-02-03 05:21:00-05:00,145.79,106.86,103.96,184.29,363.29
2023-02-03 05:22:00-05:00,145.79,106.83,103.91,184.27,363.29
2023-02-03 05:23:00-05:00,145.78,106.78,103.91,184.27,363.29
2023-02-03 05:24:00-05:00,145.75,106.75,103.91,184.25,363.23
2023-02-03 05:25:00-05:00,145.74,106.75,103.89,184.22,363.16333333333336
2023-02-03 05:26:00-05:00,145.74,106.75,103.89,184.22,363.09666666666664
2023-02-03 05:27:00-05:00,145.72,106.75,103.89,184.22,363.03
2023-02-03 05:28:00-05:00,145.72,106.75,103.89,184.22,363.0
2023-02-03 05:29:00-05:00,145.72,106.75,103.9,184.26,362.905
2023-02-03 05:30:00-05:00,145.72,106.72,103.85,184.26,362.86
2023-02-03 05:31:00-05:00,145.71,106.69,103.81,184.26,362.86
2023-02-03 05:32:00-05:00,145.7,106.69,103.77,184.14,362.7
2023-02-03 05:33:00-05:00,145.7,106.7,103.77,184.14,362.65
2023-02-03 05:34:00-05:00,145.68,106.72,103.93,184.14,362.65
2023-02-03 05:35:00-05:00,145.68,106.73,103.93,184.14,362.67499999999995
2023-02-03 05:36:00-05:00,145.68,106.73,103.93,184.08,362.67499999999995
2023-02-03 05:37:00-05:00,145.69,106.72,103.93,184.08,362.67499999999995
2023-02-03 05:38:00-05:00,145.7,106.72,103.93,184.08,362.6625
2023-02-03 05:39:00-05:00,145.79,106.72,103.93,184.12,362.625
2023-02-03 05:40:00-05:00,145.8,106.73,103.95,184.12,362.5875
2023-02-03 05:41:00-05:00,145.82,106.8,103.95,184.23,362.55
2023-02-03 05:42:00-05:00,145.84,106.81,103.95,184.28,362.55
2023-02-03 05:43:00-05:00,145.85,106.81,103.95,184.28,362.58
2023-02-03 05:44:00-05:00,145.85,106.85,103.95,184.38,362.76
2023-02-03 05:45:00-05:00,145.85,106.85,103.94,184.38,362.76
2023-02-03 05:46:00-05:00,145.84,106.82,103.93,184.34,362.76
2023-02-03 05:47:00-05:00,145.83,106.82,103.91,184.34,362.70500000000004
2023-02-03 05:48:00-05:00,145.83,106.81,103.84,184.34,362.4775
2023-02-03 05:49:00-05:00,145.83,106.81,103.82,184.4,362.4775
2023-02-03 05:50:00-05:00,145.82,106.8,103.75,184.4,362.48125000000005
2023-02-03 05:51:00-05:00,145.82,106.8,103.73,184.43,362.485
2023-02-03 05:52:00-05:00,145.81,106.7,103.72,184.4,362.48875
2023-02-03 05:53:00-05:00,145.8,106.7,103.69,184.43,362.4925
2023-02-03 05:54:00-05:00,145.8,106.71,103.67,184.45,362.49625000000003
2023-02-03 05:55:00-05:00,145.8,106.73,103.65,184.47,362.5
2023-02-03 05:56:00-05:00,145.8,106.73,103.62,184.84,362.51
2023-02-03 05:57:00-05:00,145.81,106.73,103.67,184.9,362.56333333333333
2023-02-03 05:58:00-05:00,145.82,106.69,103.69,185.03,362.6166666666667
2023-02-03 05:59:00-05:00,145.82,106.69,103.7,185.03,362.66999999999996
2023-02-03 06:00:00-05:00,145.83,106.68,103.7,185.03,362.7233333333333
2023-02-03 06:01:00-05:00,145.82,106.68,103.7,185.0,362.77666666666664
2023-02-03 06:02:00-05:00,145.82,106.68,103.6,184.99,362.77666666666664
2023-02-03 06:03:00-05:00,145.8,106.69,103.6,184.82,362.77666666666664
2023-02-03 06:04:00-05:00,145.8,106.69,103.6,184.81,362.77
2023-02-03 06:05:00-05:00,145.8,106.69,103.6,184.8,362.69
2023-02-03 06:06:00-05:00,145.77,106.65,103.6,184.8,362.55
2023-02-03 06:07:00-05:00,145.72,106.63,103.56,184.78,362.26
2023-02-03 06:08:00-05:00,145.72,106.61,103.56,184.78,362.24
2023-02-03 06:09:00-05:00,145.71,106.6,103.56,184.75,362.23
2023-02-03 06:10:00-05:00,145.61,106.48,103.56,184.75,362.23
2023-02-03 06:11:00-05:00,145.6,106.47,103.57,184.67,362.26
2023-02-03 06:12:00-05:00,145.6,106.47,103.57,184.57,362.31
2023-02-03 06:13:00-05:00,145.6,106.45,103.57,184.57,362.35999999999996
2023-02-03 06:14:00-05:00,145.58,106.47,103.56,184.53,362.40999999999997
2023-02-03 06:15:00-05:00,145.58,106.5,103.56,184.53,362.46
2023-02-03 06:16:00-05:00,145.58,106.54,103.56,184.53,362.51
2023-02-03 06:17:00-05:00,145.58,106.55,103.575,184.53,362.56
2023-02-03 06:18:00-05:00,145.63,106.55,103.575,184.53,362.61
2023-02-03 06:19:00-05:00,145.64,106.55,103.61,184.53,362.65999999999997
2023-02-03 06:20:00-05:00,145.66,106.55,103.63,184.53,362.71
2023-02-03 06:21:00-05:00,145.73,106.68,103.71,184.6,362.74333333333334
2023-02-03 06:22:00-05:00,145.73,106.68,103.71,184.6,362.74333333333334
2023-02-03 06:23:00-05:00,145.74,106.69,103.71,184.65,362.74333333333334
2023-02-03 06:24:00-05:00,145.77,106.7,103.72,184.65,362.72666666666663
2023-02-03 06:25:00-05:00,145.77,106.7,103.75,184.78,362.72666666666663
2023-02-03 06:26:00-05:00,145.8,106.72,103.75999999999999,184.78,362.78
2023-02-03 06:27:00-05:00,145.89,106.72,103.75999999999999,184.79,363.0
2023-02-03 06:28:00-05:00,145.89,106.72,103.75999999999999,184.99,363.29499999999996
2023-02-03 06:29:00-05:00,145.89,106.75,103.75,185.0,363.29499999999996
2023-02-03 06:30:00-05:00,145.9,106.75,103.73,185.43,363.34
2023-02-03 06:31:00-05:00,145.92,106.76,103.73,185.49,363.495
2023-02-03 06:32:00-05:00,145.96,106.88,103.74,185.54,363.5
2023-02-03 06:33:00-05:00,146.15,106.91,103.74,185.64,363.74
2023-02-03 06:34:00-05:00,146.21,106.96,103.74,185.76,364.3
2023-02-03 06:35:00-05:00,146.21,106.97,103.73,185.76,364.3
2023-02-03 06:36:00-05:00,146.21,106.97,103.73,185.76,364.3
2023-02-03 06:37:00-05:00,146.2,106.98,103.85,185.76,364.2816666666667
2023-02-03 06:38:00-05:00,146.2,106.98,103.85,185.76,364.2633333333333
2023-02-03 06:39:00-05:00,146.2,106.98,103.85,185.76,364.245
2023-02-03 06:40:00-05:00,146.34,106.98,103.85,185.76,364.2266666666667
2023-02-03 06:41:00-05:00,146.44,106.98,103.85,185.75,364.2083333333333
2023-02-03 06:42:00-05:00,146.45,106.96,103.85,185.7,364.19
2023-02-03 06:43:00-05:00,146.5,106.96,103.85,185.7,364.19
2023-02-03 06:44:00-05:00,146.65,106.97,103.81,185.69,363.86
2023-02-03 06:45:00-05:00,146.87,107.08,103.76,185.69,363.86
2023-02-03 06:46:00-05:00,146.87,107.08,103.74,185.62,363.86
2023-02-03 06:47:00-05:00,146.87,107.08,103.72,185.6,363.86
2023-02-03 06:48:00-05:00,146.89,107.05,103.72,185.54,364.0
2023-02-03 06:49:00-05:00,146.89,106.97,103.61,185.35,364.0
2023-02-03 06:50:00-05:00,146.93,106.95,103.61,185.2,364.0
2023-02-03 06:51:00-05:00,146.93,106.97,103.64,185.18,363.99
2023-02-03 06:52:00-05:00,146.93,107.08,103.64,185.18,363.99
2023-02-03 06:53:00-05:00,146.86,107.08,103.64,185.19,364.0233333333333
2023-02-03 06:54:00-05:00,146.78,107.28,103.64,185.19,364.0566666666667
2023-02-03 06:55:00-05:00,146.78,107.33,103.66,185.19,364.09
2023-02-03 06:56:00-05:00,146.78,107.38,103.675,185.2,364.145
2023-02-03 06:57:00-05:00,146.78,107.4,103.69,185.22,364.2
2023-02-03 06:58:00-05:00,146.78,107.42,103.73,185.25,364.255
2023-02-03 06:59:00-05:00,146.78,107.45,103.74,185.34,364.255
2023-02-03 07:00:00-05:00,146.88,107.45,103.74,185.37,364.255
2023-02-03 07:01:00-05:00,147.23,107.58,103.74,185.39,364.08
