Datetime,AAPL_Open,AMZN_Open,GOOG_Open,META_Open,NFLX_Open
2023-01-03 04:00:00-05:00,130.28,85.01,89.4,120.99,297.24
2023-01-03 04:01:00-05:00,130.89,85.1,89.66,121.55,297.24
2023-01-03 04:02:00-05:00,131.17,85.21,89.8,121.73,297.5
2023-01-03 04:03:00-05:00,131.17,85.23,89.8,121.86,297.57
2023-01-03 04:04:00-05:00,131.28,85.25,89.92,121.86,298.11
2023-01-03 04:05:00-05:00,131.28,85.25,89.93,121.86,298.63
2023-01-03 04:06:00-05:00,131.28,85.25,89.93,121.87,299.1
2023-01-03 04:07:00-05:00,131.25,85.24,89.93,121.9,299.5
2023-01-03 04:08:00-05:00,131.12,85.2,89.91,121.9,299.5
2023-01-03 04:09:00-05:00,131.12,85.2,89.91,121.9,299.1
2023-01-03 04:10:00-05:00,131.16,85.2,89.91,121.96,298.72
2023-01-03 04:11:00-05:00,131.19,85.2,89.93,121.99,298.72
2023-01-03 04:12:00-05:00,131.21,85.2,89.95,122.06,298.82
2023-01-03 04:13:00-05:00,131.28,85.27,89.96,122.06,298.87
2023-01-03 04:14:00-05:00,131.28,85.27,90.01,122.06,298.8833333333333
2023-01-03 04:15:00-05:00,131.28,85.27,90.01,122.055,298.8966666666667
2023-01-03 04:16:00-05:00,131.28,85.3,90.07,122.055,298.91
2023-01-03 04:17:00-05:00,131.28,85.31,90.07,122.3,298.91
2023-01-03 04:18:00-05:00,131.28,85.33,90.07,122.3,298.91
2023-01-03 04:19:00-05:00,131.28,85.33,90.07,122.3,298.86
2023-01-03 04:20:00-05:00,131.28,85.33,90.025,122.3,298.72
2023-01-03 04:21:00-05:00,131.05,85.33,90.025,122.27333333333333,298.72
2023-01-03 04:22:00-05:00,131.05,85.33,90.06,122.27333333333333,298.93
2023-01-03 04:23:00-05:00,131.05,85.33,90.06,122.27333333333333,299.0
2023-01-03 04:24:00-05:00,131.05,85.36,90.06,122.3,299.0
2023-01-03 04:25:00-05:00,131.16,85.44,90.06,122.3,299.0
2023-01-03 04:26:00-05:00,131.16,85.44,90.06,122.23,299.36
2023-01-03 04:27:00-05:00,131.16,85.44,90.06,122.24,299.36
2023-01-03 04:28:00-05:00,131.05,85.43,90.08,122.23,299.36
2023-01-03 04:29:00-05:00,130.95,85.39,90.08,122.24,299.36
2023-01-03 04:30:00-05:00,130.95,85.39,90.08,122.25,299.27333333333337
2023-01-03 04:31:00-05:00,130.95,85.43,90.06,122.265,299.27333333333337
2023-01-03 04:32:00-05:00,130.95,85.44,90.06,122.265,299.45
2023-01-03 04:33:00-05:00,130.96,85.48,90.06,122.3,299.59
2023-01-03 04:34:00-05:00,130.97,85.48,90.06,122.28,299.7
2023-01-03 04:35:00-05:00,130.99,85.48,90.06,122.3,299.7
2023-01-03 04:36:00-05:00,131.07,85.48,90.06,122.31,299.7
2023-01-03 04:37:00-05:00,131.07,85.47,90.055,122.31,299.4433333333333
2023-01-03 04:38:00-05:00,131.07,85.45,90.06,122.31,299.4433333333333
2023-01-03 04:39:00-05:00,131.02,85.45,90.075,122.34,299.49
2023-01-03 04:40:00-05:00,131.02,85.47,90.075,122.31,299.73
2023-01-03 04:41:00-05:00,131.19,85.51,90.09,122.31,299.73
2023-01-03 04:42:00-05:00,131.2,85.58,90.11,122.28,299.73
2023-01-03 04:43:00-05:00,131.2,85.59,90.12,122.24,299.66
2023-01-03 04:44:00-05:00,131.2,85.59,90.13,122.28,299.66
2023-01-03 04:45:00-05:00,131.21,85.6,90.14,122.28,299.55
2023-01-03 04:46:00-05:00,131.23,85.63,90.15,122.37,299.74
2023-01-03 04:47:00-05:00,131.29,85.63,90.15,122.385,299.74
2023-01-03 04:48:00-05:00,131.29,85.63,90.19,122.4,299.45
2023-01-03 04:49:00-05:00,131.29,85.59,90.19,122.385,299.6
2023-01-03 04:50:00-05:00,131.27,85.59,90.19,122.4,299.5866666666667
