Datetime,AAPL,AMZN,GOOG,META,NFLX
2022-12-19 04:00:00-05:00,135.2,88.39,91.2,120.13,291.0
2022-12-19 04:01:00-05:00,135.54,88.39,91.2,120.13,291.1
2022-12-19 04:02:00-05:00,135.54,88.24,91.11,120.11,291.11
2022-12-19 04:03:00-05:00,135.54,88.14,91.11,120.1,291.88
2022-12-19 04:04:00-05:00,135.41,88.14,91.11,120.08,291.88
2022-12-19 04:05:00-05:00,135.41,88.11,91.22,120.05,291.66333333333336
2022-12-19 04:06:00-05:00,135.41,88.11,91.23,120.01,291.66333333333336
2022-12-19 04:07:00-05:00,135.4,88.11,91.245,120.0,291.5
2022-12-19 04:08:00-05:00,135.43,88.11,91.26,119.89,291.5
2022-12-19 04:09:00-05:00,135.4,88.11,91.26,119.63,291.51
2022-12-19 04:10:00-05:00,135.4,88.11,91.26,119.63,291.51
2022-12-19 04:11:00-05:00,135.4,88.11,91.21666666666667,119.63,291.51
2022-12-19 04:12:00-05:00,135.4,88.11,91.21666666666667,119.65,291.51
2022-12-19 04:13:00-05:00,135.4,88.11,91.17333333333333,119.66,291.51
2022-12-19 04:14:00-05:00,135.4,88.04,91.15,119.66,291.51
2022-12-19 04:15:00-05:00,135.38,88.04,91.16,119.66,291.51
2022-12-19 04:16:00-05:00,135.38,88.12,91.16,119.66,291.8
2022-12-19 04:17:00-05:00,135.42,88.18,91.17,119.7,291.875
2022-12-19 04:18:00-05:00,135.45,88.19,91.25,119.7,291.93125
2022-12-19 04:19:00-05:00,135.46,88.19,91.25,119.74,291.93125
2022-12-19 04:20:00-05:00,135.46,88.19,91.25,119.7,291.93125
2022-12-19 04:21:00-05:00,135.46,88.19,91.25,119.73,291.9125
2022-12-19 04:22:00-05:00,135.44,88.19,91.25,119.74,291.89375
2022-12-19 04:23:00-05:00,135.42,88.18,91.24000000000001,119.795,291.875
2022-12-19 04:24:00-05:00,135.39,88.14,91.24000000000001,119.795,291.85625
2022-12-19 04:25:00-05:00,135.42,88.14,91.25,119.795,291.8375
2022-12-19 04:26:00-05:00,135.47,88.2,91.235,119.79,291.81875
2022-12-19 04:27:00-05:00,135.47,88.2,91.224,119.79,291.8
2022-12-19 04:28:00-05:00,135.47,88.2,91.224,119.64,291.59
2022-12-19 04:29:00-05:00,135.47,88.19,91.19800000000001,119.52,291.59
2022-12-19 04:30:00-05:00,135.44,88.16,91.172,119.51,291.755
2022-12-19 04:31:00-05:00,135.44,88.16,91.17,119.49,291.755
2022-12-19 04:32:00-05:00,135.42,88.16,91.146,119.44,291.755
2022-12-19 04:33:00-05:00,135.44,88.11,91.125,119.35,291.56
2022-12-19 04:34:00-05:00,135.45,88.11,91.145,119.35,291.55
