Datetime,AAPL_High,AMZN_High,GOOG_High,META_High,NFLX_High
2023-02-01 04:00:00-05:00,144.29,102.99,99.5,147.1,353.86
2023-02-01 04:01:00-05:00,144.2,102.92,99.42,146.85,353.11
2023-02-01 04:02:00-05:00,144.09,102.92,99.41,146.98,353.13
2023-02-01 04:03:00-05:00,144.08,102.91,99.41,147.1,353.222
2023-02-01 04:04:00-05:00,144.15,102.92,99.415,147.34,353.314
2023-02-01 04:05:00-05:00,144.1,102.92,99.42,147.49,353.406
2023-02-01 04:06:00-05:00,144.18,102.92,99.4,147.43,353.498
2023-02-01 04:07:00-05:00,144.2,102.92,99.41,147.13,353.59
2023-02-01 04:08:00-05:00,144.19,102.9,99.395,147.12,353.59
2023-02-01 04:09:00-05:00,144.19,102.91,99.38,147.0,353.59
2023-02-01 04:10:00-05:00,144.19,102.9,99.41,146.95,353.0
2023-02-01 04:11:00-05:00,144.2,102.83,99.41,146.95,353.01
2023-02-01 04:12:00-05:00,144.22,102.83,99.39,146.96,353.025
2023-02-01 04:13:00-05:00,144.2,102.9,99.38666666666668,146.95,353.04
2023-02-01 04:14:00-05:00,144.23,102.8,99.38333333333333,146.95,353.05
2023-02-01 04:15:00-05:00,144.23,102.84,99.38,146.95,353.82
2023-02-01 04:16:00-05:00,144.22,102.88,99.41,146.94,353.83666666666664
2023-02-01 04:17:00-05:00,144.23,102.91,99.41,146.92,353.8533333333333
2023-02-01 04:18:00-05:00,144.24,102.92,99.39666666666666,146.86,353.87
2023-02-01 04:19:00-05:00,144.22,102.92,99.38333333333334,146.95,353.88666666666666
2023-02-01 04:20:00-05:00,144.24,102.91,99.37,147.26,353.90333333333336
2023-02-01 04:21:00-05:00,144.25,102.92,99.3825,147.2,353.92
2023-02-01 04:22:00-05:00,144.27,102.92,99.395,147.19,353.51
2023-02-01 04:23:00-05:00,144.26,102.92,99.4075,147.1,353.1
2023-02-01 04:24:00-05:00,144.27,102.92,99.42,147.09,353.1075
2023-02-01 04:25:00-05:00,144.25,102.895,99.48,147.1,353.115
2023-02-01 04:26:00-05:00,144.24,102.87,99.5,147.2,353.1225
2023-02-01 04:27:00-05:00,144.24,102.98,99.5,147.26,353.13
2023-02-01 04:28:00-05:00,144.24,102.9,99.5,147.32,353.7
2023-02-01 04:29:00-05:00,144.25,102.99,99.5,147.32,353.59
2023-02-01 04:30:00-05:00,144.23,102.92,99.5,147.32,353.48
2023-02-01 04:31:00-05:00,144.2,102.91,99.48,147.0,353.37
2023-02-01 04:32:00-05:00,144.18,102.92,99.44,147.0,353.26
2023-02-01 04:33:00-05:00,144.17,102.9,99.44,146.91,353.15
2023-02-01 04:34:00-05:00,144.17,102.88,99.42,147.08,353.19
2023-02-01 04:35:00-05:00,144.16,102.87,99.37,147.15,353.0
2023-02-01 04:36:00-05:00,144.16,102.87,99.38,147.15,353.25
2023-02-01 04:37:00-05:00,144.16,102.87,99.39,147.13,353.5
2023-02-01 04:38:00-05:00,144.13,102.98,99.4,147.11,353.44714285714286
2023-02-01 04:39:00-05:00,144.15,102.95,99.41,147.11,353.39428571428573
2023-02-01 04:40:00-05:00,144.14,102.94,99.39333333333332,147.09,353.3414285714286
2023-02-01 04:41:00-05:00,144.11,102.91,99.37666666666668,147.07,353.2885714285714
2023-02-01 04:42:00-05:00,144.13,102.9,99.36,147.1,353.23571428571427
2023-02-01 04:43:00-05:00,144.13,102.89,99.385,147.075,353.1828571428572
2023-02-01 04:44:00-05:00,144.12,102.88,99.41,147.05,353.13
2023-02-01 04:45:00-05:00,144.09,102.84,99.48,147.07,353.09
2023-02-01 04:46:00-05:00,144.11,102.84,99.5,147.07,353.5
2023-02-01 04:47:00-05:00,144.13,102.93,99.41,147.09,353.485
2023-02-01 04:48:00-05:00,144.15,102.94,99.45,147.26,353.47
2023-02-01 04:49:00-05:00,144.16,102.94,99.49,147.13,353.45
2023-02-01 04:50:00-05:00,144.17,102.93,99.48666666666666,147.07,353.2
2023-02-01 04:51:00-05:00,144.19,102.93,99.48333333333332,147.17,353.26666666666665
2023-02-01 04:52:00-05:00,144.19,102.92,99.48,147.17,353.3333333333333
2023-02-01 04:53:00-05:00,144.19,102.85,99.47666666666666,147.21,353.4
2023-02-01 04:54:00-05:00,144.17,102.865,99.47333333333331,147.17,353.4
2023-02-01 04:55:00-05:00,144.18,102.88,99.47,147.18,353.47666666666663
2023-02-01 04:56:00-05:00,144.16,102.865,99.41,147.2,353.55333333333334
2023-02-01 04:57:00-05:00,144.14,102.85,99.41,147.1,353.63
2023-02-01 04:58:00-05:00,144.14,102.81,99.41,147.06,353.6
2023-02-01 04:59:00-05:00,144.08,102.75,99.41,147.035,353.86
2023-02-01 05:00:00-05:00,144.16,102.71,99.41,147.01,353.8228571428572
2023-02-01 05:01:00-05:00,144.19,102.73,99.41,146.95,353.7857142857143
2023-02-01 05:02:00-05:00,144.15,102.75,99.41,146.93,353.74857142857144
2023-02-01 05:03:00-05:00,144.15,102.73,99.41,146.97,353.7114285714286
2023-02-01 05:04:00-05:00,144.15,102.73,99.41,147.01,353.67428571428576
2023-02-01 05:05:00-05:00,144.17,102.86,99.41,147.02,353.63714285714286
2023-02-01 05:06:00-05:00,144.15,102.88,99.34,147.04666666666668,353.6
2023-02-01 05:07:00-05:00,144.15,102.85,99.35,147.07333333333332,353.58750000000003
2023-02-01 05:08:00-05:00,144.14,102.85,99.36,147.1,353.57500000000005
2023-02-01 05:09:00-05:00,144.13,102.83,99.34,147.13,353.5625
2023-02-01 05:10:00-05:00,144.13,102.76,99.31,147.12,353.55
2023-02-01 05:11:00-05:00,144.09,102.76,99.2925,147.06,353.5375
2023-02-01 05:12:00-05:00,144.06,102.83,99.275,147.04000000000002,353.525
2023-02-01 05:13:00-05:00,144.03,102.78,99.2575,147.02,353.5125
2023-02-01 05:14:00-05:00,144.02,102.73,99.24,146.965,353.5
2023-02-01 05:15:00-05:00,144.03,102.75,99.235,146.91,353.21
2023-02-01 05:16:00-05:00,144.08,102.7,99.23,146.9,353.19
2023-02-01 05:17:00-05:00,144.04,102.61,99.2,146.84,353.17
2023-02-01 05:18:00-05:00,144.02,102.64,99.21333333333334,146.8,353.15
2023-02-01 05:19:00-05:00,144.06,102.64,99.22666666666666,146.78,353.13
2023-02-01 05:20:00-05:00,144.02,102.64,99.24,146.79500000000002,353.11
2023-02-01 05:21:00-05:00,144.0,102.55,99.27,146.81,353.09000000000003
2023-02-01 05:22:00-05:00,144.03,102.63,99.25,146.8,353.07
2023-02-01 05:23:00-05:00,144.01,102.57,99.23,146.85,353.05
2023-02-01 05:24:00-05:00,143.98,102.57,99.26333333333334,146.88,353.1375
2023-02-01 05:25:00-05:00,143.98,102.48,99.29666666666668,146.96,353.225
2023-02-01 05:26:00-05:00,144.04,102.47,99.33,146.91,353.3125
2023-02-01 05:27:00-05:00,144.02,102.55,99.35,146.89,353.4
2023-02-01 05:28:00-05:00,144.01,102.51,99.33,146.815,353.3575
2023-02-01 05:29:00-05:00,143.96,102.58,99.31333333333332,146.74,353.315
2023-02-01 05:30:00-05:00,143.99,102.47,99.29666666666668,146.72,353.27250000000004
2023-02-01 05:31:00-05:00,143.99,102.47,99.28,146.79,353.23
2023-02-01 05:32:00-05:00,143.98,102.42,99.54,146.8,353.26
2023-02-01 05:33:00-05:00,143.96,102.485,99.51,146.76,353.155
2023-02-01 05:34:00-05:00,143.945,102.55,99.51,146.7,353.05
2023-02-01 05:35:00-05:00,143.93,102.56,99.51,146.76,353.19666666666666
2023-02-01 05:36:00-05:00,143.93,102.57,99.5,146.73999999999998,353.34333333333336
2023-02-01 05:37:00-05:00,143.93,102.6,99.51,146.72,353.49
2023-02-01 05:38:00-05:00,143.93,102.52,99.52,146.7,353.33500000000004
2023-02-01 05:39:00-05:00,143.93,102.5,99.54,146.72,353.18
2023-02-01 05:40:00-05:00,143.91,102.5,99.51,146.78,353.18666666666667
2023-02-01 05:41:00-05:00,143.9,102.49,99.51,146.76,353.1933333333333
2023-02-01 05:42:00-05:00,143.93,102.5,99.51,146.74,353.2
2023-02-01 05:43:00-05:00,143.93,102.53,99.51,146.74,353.15
2023-02-01 05:44:00-05:00,143.95,102.51,99.52,146.74,353.1
2023-02-01 05:45:00-05:00,143.99,102.5,99.52,146.74,353.05
2023-02-01 05:46:00-05:00,143.99,102.55,99.52,146.74,353.0
2023-02-01 05:47:00-05:00,143.99,102.525,99.52,146.74,353.1
2023-02-01 05:48:00-05:00,143.99,102.5,99.52,146.74,353.2
2023-02-01 05:49:00-05:00,143.98,102.5,99.525,146.72,353.175
2023-02-01 05:50:00-05:00,144.0,102.49,99.53,146.7,353.15
2023-02-01 05:51:00-05:00,144.0,102.54,99.535,146.72,353.125
2023-02-01 05:52:00-05:00,143.995,102.54,99.54,146.75,353.1
2023-02-01 05:53:00-05:00,143.99,102.53,99.545,146.92,353.075
2023-02-01 05:54:00-05:00,143.99,102.53,99.55,146.8,353.05
2023-02-01 05:55:00-05:00,143.99,102.5,99.55,146.83,353.02714285714285
2023-02-01 05:56:00-05:00,143.99,102.5,99.55,146.86,353.00428571428574
2023-02-01 05:57:00-05:00,143.95,102.53,99.55,146.86,352.9814285714286
2023-02-01 05:58:00-05:00,143.97,102.55,99.57666666666668,146.86,352.9585714285714
2023-02-01 05:59:00-05:00,143.97,102.525,99.60333333333332,147.0,352.93571428571425
2023-02-01 06:00:00-05:00,143.95,102.5,99.63,146.86,352.91285714285715
2023-02-01 06:01:00-05:00,143.97,102.5,99.63,146.835,352.89
2023-02-01 06:02:00-05:00,143.97,102.48,99.63,146.81,352.945
2023-02-01 06:03:00-05:00,144.0,102.55,99.624,146.76,353.0
2023-02-01 06:04:00-05:00,144.09,102.55,99.618,146.78,353.0
2023-02-01 06:05:00-05:00,144.04,102.55,99.612,146.755,353.0
2023-02-01 06:06:00-05:00,144.07,102.55,99.606,146.73,353.0
2023-02-01 06:07:00-05:00,144.0,102.56,99.6,146.82,353.0
2023-02-01 06:08:00-05:00,143.98,102.53,99.606,146.75,353.0
2023-02-01 06:09:00-05:00,143.97,102.53,99.612,146.78666666666666,353.0
2023-02-01 06:10:00-05:00,143.99,102.56,99.618,146.82333333333335,353.0
2023-02-01 06:11:00-05:00,143.99,102.57,99.624,146.86,353.0
2023-02-01 06:12:00-05:00,144.0,102.57,99.63,146.88,353.0
2023-02-01 06:13:00-05:00,144.0,102.6,99.6325,146.76,353.0
2023-02-01 06:14:00-05:00,144.0,102.56,99.635,146.79999999999998,352.945
2023-02-01 06:15:00-05:00,143.96,102.6,99.6375,146.84,352.89
2023-02-01 06:16:00-05:00,143.97,102.54,99.64,146.88,352.78
2023-02-01 06:17:00-05:00,143.99,102.56,99.64,146.94,353.11
2023-02-01 06:18:00-05:00,144.02,102.555,99.64,147.0,353.12
2023-02-01 06:19:00-05:00,144.05,102.55,99.64,146.97,352.96000000000004
2023-02-01 06:20:00-05:00,144.04,102.585,99.64,147.04,352.8
2023-02-01 06:21:00-05:00,144.08,102.62,99.64,147.06,352.82
2023-02-01 06:22:00-05:00,144.08,102.63,99.64,147.1,352.84
2023-02-01 06:23:00-05:00,144.08,102.65,99.64,147.1,352.86
2023-02-01 06:24:00-05:00,144.08,102.65,99.63,147.1,352.88
2023-02-01 06:25:00-05:00,144.08,102.74,99.62,147.1,352.9
2023-02-01 06:26:00-05:00,144.1,102.72,99.7,147.01,352.90714285714284
2023-02-01 06:27:00-05:00,144.08,102.74,99.7,147.05,352.9142857142857
2023-02-01 06:28:00-05:00,144.07,102.69,99.7,147.025,352.9214285714286
2023-02-01 06:29:00-05:00,144.05,102.7,99.70285714285714,147.0,352.9285714285714
2023-02-01 06:30:00-05:00,144.05,102.69,99.7057142857143,146.96,352.93571428571425
2023-02-01 06:31:00-05:00,144.05,102.71,99.70857142857145,147.025,352.9428571428571
