Datetime,AAPL_Low,AMZN_Low,GOOG_Low,META_Low,NFLX_Low
2023-02-03 04:00:00-05:00,145.11,106.0,102.54,183.0,362.18
2023-02-03 04:01:00-05:00,145.11,105.66,102.54,183.32,362.3
2023-02-03 04:02:00-05:00,144.76,105.52,102.66,183.61,362.25
2023-02-03 04:03:00-05:00,144.75,105.68,102.51,183.4,362.0
2023-02-03 04:04:00-05:00,144.86,105.9,102.57,183.3,361.8
2023-02-03 04:05:00-05:00,144.86,105.93,102.51,183.6,362.5
2023-02-03 04:06:00-05:00,145.0,106.0,102.68,183.5,362.5
2023-02-03 04:07:00-05:00,145.01,105.97,102.79,183.5,362.5
2023-02-03 04:08:00-05:00,145.14,106.04,102.8,183.5,362.5
2023-02-03 04:09:00-05:00,145.16,106.15,102.83,183.61,362.18
2023-02-03 04:10:00-05:00,145.15,106.06,103.12,183.48,361.86
2023-02-03 04:11:00-05:00,145.2,106.14,103.2,183.41,361.82
2023-02-03 04:12:00-05:00,145.31,106.24,103.27,183.6,362.92
2023-02-03 04:13:00-05:00,145.37,106.45,103.27,183.76,362.79
2023-02-03 04:14:00-05:00,145.2,106.47,103.29,183.5,363.33
2023-02-03 04:15:00-05:00,145.23,106.51,103.26,183.53,363.45
2023-02-03 04:16:00-05:00,145.22,106.56,103.34,183.54,363.23
2023-02-03 04:17:00-05:00,145.25,106.56,103.41,183.7,363.305
2023-02-03 04:18:00-05:00,145.27,106.52,103.42,183.69,363.38
2023-02-03 04:19:00-05:00,145.3,106.53,103.45,183.71,363.3433333333333
2023-02-03 04:20:00-05:00,145.45,106.5,103.5,183.68,363.3066666666667
2023-02-03 04:21:00-05:00,145.44,106.49,103.58,183.77,363.27
2023-02-03 04:22:00-05:00,145.4,106.25,103.5,183.85,363.8
2023-02-03 04:23:00-05:00,145.4,106.25,103.5,184.0,363.75
2023-02-03 04:24:00-05:00,145.36,106.38,103.56,184.0,363.13
2023-02-03 04:25:00-05:00,145.46,106.4,103.58,184.2,362.94
2023-02-03 04:26:00-05:00,145.48,106.33,103.59,184.28,363.0
2023-02-03 04:27:00-05:00,145.48,106.31,103.56,184.33,362.83000000000004
2023-02-03 04:28:00-05:00,145.45,106.25,103.5,184.18,362.66
2023-02-03 04:29:00-05:00,145.43,106.25,103.5,184.06,363.2
2023-02-03 04:30:00-05:00,145.41,106.3,103.6,184.28,363.2
2023-02-03 04:31:00-05:00,145.48,106.31,103.58,184.23,363.89
2023-02-03 04:32:00-05:00,145.58,106.53,103.67,184.33,363.4
2023-02-03 04:33:00-05:00,145.82,106.52,103.65,184.5,363.06
2023-02-03 04:34:00-05:00,145.76,106.53,103.78,184.45,363.06
2023-02-03 04:35:00-05:00,145.82,106.53,103.8,184.51,363.06
2023-02-03 04:36:00-05:00,145.77,106.55,103.87,184.47,363.06
2023-02-03 04:37:00-05:00,145.8,106.55,104.0,184.39,363.23
2023-02-03 04:38:00-05:00,145.8,106.56,103.95,184.35,363.4
2023-02-03 04:39:00-05:00,145.83,106.57,104.01,184.34,363.5
2023-02-03 04:40:00-05:00,145.91,106.71,104.13,184.41,363.58666666666664
2023-02-03 04:41:00-05:00,146.02,106.78,104.06,184.41,363.67333333333335
2023-02-03 04:42:00-05:00,146.06,106.7,104.08,184.43,363.76
2023-02-03 04:43:00-05:00,146.06,106.75,104.15,184.43,363.89
2023-02-03 04:44:00-05:00,146.09,106.82,104.1,184.6,363.74333333333334
2023-02-03 04:45:00-05:00,146.11,106.84,104.1,184.32,363.59666666666664
2023-02-03 04:46:00-05:00,146.12,106.75,104.19,184.29,363.45
2023-02-03 04:47:00-05:00,146.0,106.66,104.15,184.28,363.44
2023-02-03 04:48:00-05:00,146.08,106.65,104.07,184.29,363.43
2023-02-03 04:49:00-05:00,145.94,106.6,103.96,184.23,363.42
2023-02-03 04:50:00-05:00,145.95,106.6,103.95,184.2,363.46000000000004
2023-02-03 04:51:00-05:00,145.99,106.61,103.92,184.3,363.5
2023-02-03 04:52:00-05:00,146.0,106.67,103.92,184.3,363.53
2023-02-03 04:53:00-05:00,146.1,106.71,103.96000000000001,184.21,363.56
2023-02-03 04:54:00-05:00,146.14,106.7,104.0,184.24,363.59000000000003
2023-02-03 04:55:00-05:00,146.15,106.73,104.09,184.29,363.62
2023-02-03 04:56:00-05:00,146.15,106.72,104.07,184.28,363.88
2023-02-03 04:57:00-05:00,146.15,106.78,104.09,184.2,363.56
2023-02-03 04:58:00-05:00,146.1,106.72,104.1,184.11,363.45500000000004
2023-02-03 04:59:00-05:00,146.02,106.7,104.09,184.03,363.35
2023-02-03 05:00:00-05:00,146.02,106.65,104.07,184.0,363.33
2023-02-03 05:01:00-05:00,146.01,106.54,104.09,184.03,363.34
2023-02-03 05:02:00-05:00,146.04,106.52,104.06,184.05,363.5
2023-02-03 05:03:00-05:00,146.05,106.59,104.07,184.2,363.496
2023-02-03 05:04:00-05:00,146.09,106.61,104.08,184.19,363.492
2023-02-03 05:05:00-05:00,146.1,106.64,104.17,184.18,363.488
2023-02-03 05:06:00-05:00,146.1,106.67,104.19,184.22,363.48400000000004
2023-02-03 05:07:00-05:00,146.11,106.8,104.17,184.31,363.48
2023-02-03 05:08:00-05:00,146.14,106.87,104.18,184.6,363.49
2023-02-03 05:09:00-05:00,146.14,107.01,104.14,184.54,363.4916666666667
2023-02-03 05:10:00-05:00,146.11,106.85,104.14,184.43,363.49333333333334
2023-02-03 05:11:00-05:00,146.0,106.75,104.11,184.29,363.495
2023-02-03 05:12:00-05:00,145.9,106.6,104.05,184.46,363.49666666666667
2023-02-03 05:13:00-05:00,145.85,106.61,104.025,184.48,363.49833333333333
2023-02-03 05:14:00-05:00,145.84,106.6,104.0,184.47,363.5
2023-02-03 05:15:00-05:00,145.8,106.69,103.99,184.4,363.495
