Datetime,AAPL,AMZN,GOOG,META,NFLX
2023-01-17 04:00:00-05:00,135.66,99.5,94.0,137.0,332.48
2023-01-17 04:01:00-05:00,134.64,98.12,92.5,136.53,332.5
2023-01-17 04:02:00-05:00,134.5,98.0,92.5,136.48,331.8
2023-01-17 04:03:00-05:00,134.5,97.99,92.5,136.47,332.0
2023-01-17 04:04:00-05:00,134.6,97.98,92.53,136.17,331.1
2023-01-17 04:05:00-05:00,134.58,98.1,92.56,136.44,331.24
2023-01-17 04:06:00-05:00,134.63,98.03,92.55,136.22,331.5
2023-01-17 04:07:00-05:00,134.61,98.12,92.64,136.4,331.39
2023-01-17 04:08:00-05:00,134.59,98.1,92.64,136.4,331.4
2023-01-17 04:09:00-05:00,134.58,98.15,92.62,136.26,331.0
2023-01-17 04:10:00-05:00,134.6,98.08,92.64,136.12,330.8
2023-01-17 04:11:00-05:00,134.59,98.1,92.64,136.12,331.0
2023-01-17 04:12:00-05:00,134.58,98.14,92.64,136.115,331.35
2023-01-17 04:13:00-05:00,134.57,98.14,92.64,136.11,331.3
2023-01-17 04:14:00-05:00,134.52,98.1,92.62,136.24,330.99
2023-01-17 04:15:00-05:00,134.5,98.12,92.6,136.23,330.68
2023-01-17 04:16:00-05:00,134.49,98.1,92.6,136.12,330.795
2023-01-17 04:17:00-05:00,134.45,98.13,92.6,136.01,330.91
2023-01-17 04:18:00-05:00,134.45,98.05,92.595,135.98,330.81
2023-01-17 04:19:00-05:00,134.48,98.05,92.59,135.8,331.005
2023-01-17 04:20:00-05:00,134.46,98.05,92.55000000000001,135.94,331.2
2023-01-17 04:21:00-05:00,134.41,98.03,92.51,135.76,331.2
2023-01-17 04:22:00-05:00,134.35,97.95,92.47,135.77,331.78
2023-01-17 04:23:00-05:00,134.32,97.79,92.42,135.78,331.43
2023-01-17 04:24:00-05:00,134.16,97.77,92.41499999999999,135.77,331.39
2023-01-17 04:25:00-05:00,134.19,97.78,92.41,135.84,331.39
2023-01-17 04:26:00-05:00,134.23,97.8,92.41,135.79,331.39
2023-01-17 04:27:00-05:00,134.25,97.78,92.41,135.8,331.15
2023-01-17 04:28:00-05:00,134.28,97.89,92.42,135.87,331.375
2023-01-17 04:29:00-05:00,134.28,97.81,92.455,135.94,331.6
2023-01-17 04:30:00-05:00,134.26,97.92,92.49,135.99,331.6
2023-01-17 04:31:00-05:00,134.35,97.8,92.47,135.9,331.2
2023-01-17 04:32:00-05:00,134.3,97.94,92.47,135.96,331.13
2023-01-17 04:33:00-05:00,134.32,98.0,92.42,136.065,331.46500000000003
2023-01-17 04:34:00-05:00,134.3,97.97,92.41,136.17,331.8
2023-01-17 04:35:00-05:00,134.3,97.94,92.49,136.02,331.3
2023-01-17 04:36:00-05:00,134.36,97.97,92.4,136.12,331.4
2023-01-17 04:37:00-05:00,134.36,97.98,92.41,136.12,331.8
2023-01-17 04:38:00-05:00,134.43,97.94,92.40599999999999,136.12,331.773
2023-01-17 04:39:00-05:00,134.43,97.93,92.402,136.12,331.746
2023-01-17 04:40:00-05:00,134.43,97.97,92.398,136.12,331.719
2023-01-17 04:41:00-05:00,134.43,97.94,92.394,136.12,331.692
2023-01-17 04:42:00-05:00,134.44,97.94,92.39,136.17666666666668,331.66499999999996
2023-01-17 04:43:00-05:00,134.45,97.98,92.45,136.23333333333332,331.638
2023-01-17 04:44:00-05:00,134.42,98.0,92.45,136.29,331.611
2023-01-17 04:45:00-05:00,134.41,98.0,92.45,136.2,331.584
2023-01-17 04:46:00-05:00,134.41,98.01,92.45,136.11,331.55699999999996
2023-01-17 04:47:00-05:00,134.45,98.01,92.45,136.02,331.53
2023-01-17 04:48:00-05:00,134.37,97.96,92.45,136.19,331.53
2023-01-17 04:49:00-05:00,134.31,97.99,92.445,135.9,331.54
2023-01-17 04:50:00-05:00,134.31,98.01,92.44,135.94400000000002,331.815
2023-01-17 04:51:00-05:00,134.36,98.02,92.434,135.988,332.09
2023-01-17 04:52:00-05:00,134.35,98.01,92.428,136.032,331.92
2023-01-17 04:53:00-05:00,134.33,98.02,92.422,136.076,331.842
2023-01-17 04:54:00-05:00,134.37,98.00999999999999,92.416,136.12,331.764
2023-01-17 04:55:00-05:00,134.33,98.0,92.41,136.0,331.686
2023-01-17 04:56:00-05:00,134.3,98.0,92.404,135.95,331.608
2023-01-17 04:57:00-05:00,134.29,97.95,92.398,135.9,331.53
2023-01-17 04:58:00-05:00,134.26,97.95,92.392,135.95,331.7133333333333
2023-01-17 04:59:00-05:00,134.24,98.0,92.386,136.0,331.89666666666665
2023-01-17 05:00:00-05:00,134.24,98.0,92.38,136.0,332.08
2023-01-17 05:01:00-05:00,134.22,97.96,92.38333333333333,136.0,331.815
2023-01-17 05:02:00-05:00,134.25,97.96,92.38666666666667,135.9,331.55
2023-01-17 05:03:00-05:00,134.25,97.99,92.39,135.9,331.725
