,SPY_Close
2023-02-01 04:00:00-05:00,405.09
2023-02-01 04:01:00-05:00,405.0
2023-02-01 04:02:00-05:00,405.0
2023-02-01 04:03:00-05:00,405.09
2023-02-01 04:04:00-05:00,405.09
2023-02-01 04:05:00-05:00,405.13
2023-02-01 04:06:00-05:00,405.17
2023-02-01 04:07:00-05:00,405.17
2023-02-01 04:08:00-05:00,405.17
2023-02-01 04:09:00-05:00,405.11
2023-02-01 04:10:00-05:00,405.11
2023-02-01 04:11:00-05:00,405.1
2023-02-01 04:12:00-05:00,405.1
2023-02-01 04:13:00-05:00,405.1
2023-02-01 04:14:00-05:00,405.14
2023-02-01 04:15:00-05:00,405.16
2023-02-01 04:16:00-05:00,405.18
2023-02-01 04:17:00-05:00,405.21
2023-02-01 04:18:00-05:00,405.27
2023-02-01 04:19:00-05:00,405.27
2023-02-01 04:20:00-05:00,405.31
2023-02-01 04:21:00-05:00,405.31
2023-02-01 04:22:00-05:00,405.29
2023-02-01 04:23:00-05:00,405.23
2023-02-01 04:24:00-05:00,405.28
2023-02-01 04:25:00-05:00,405.26
2023-02-01 04:26:00-05:00,405.28
2023-02-01 04:27:00-05:00,405.26
2023-02-01 04:28:00-05:00,405.18
2023-02-01 04:30:00-05:00,404.96
2023-02-01 04:31:00-05:00,404.88
2023-02-01 04:32:00-05:00,404.88
2023-02-01 04:33:00-05:00,404.88
2023-02-01 04:34:00-05:00,404.95
2023-02-01 04:35:00-05:00,405.0
2023-02-01 04:36:00-05:00,405.03
2023-02-01 04:37:00-05:00,405.03
2023-02-01 04:38:00-05:00,405.05
2023-02-01 04:39:00-05:00,405.03
2023-02-01 04:40:00-05:00,405.04
2023-02-01 04:41:00-05:00,404.98
2023-02-01 04:43:00-05:00,404.96
2023-02-01 04:44:00-05:00,404.94
2023-02-01 04:45:00-05:00,404.93
2023-02-01 04:46:00-05:00,404.93
2023-02-01 04:47:00-05:00,405.06
2023-02-01 04:48:00-05:00,405.1
2023-02-01 04:49:00-05:00,405.14
2023-02-01 04:50:00-05:00,405.14
2023-02-01 04:51:00-05:00,405.13
2023-02-01 04:52:00-05:00,405.1
2023-02-01 04:53:00-05:00,405.09
2023-02-01 04:54:00-05:00,405.09
2023-02-01 04:55:00-05:00,405.06
2023-02-01 04:56:00-05:00,405.03
2023-02-01 04:57:00-05:00,404.92
2023-02-01 04:58:00-05:00,404.92
2023-02-01 04:59:00-05:00,404.92
2023-02-01 05:00:00-05:00,404.95
2023-02-01 05:01:00-05:00,404.95
2023-02-01 05:02:00-05:00,404.92
2023-02-01 05:03:00-05:00,404.92
2023-02-01 05:05:00-05:00,404.94
2023-02-01 05:06:00-05:00,405.01
2023-02-01 05:07:00-05:00,405.01
2023-02-01 05:08:00-05:00,404.97
2023-02-01 05:09:00-05:00,404.8
2023-02-01 05:10:00-05:00,404.8
2023-02-01 05:11:00-05:00,404.79
2023-02-01 05:12:00-05:00,404.76
2023-02-01 05:13:00-05:00,404.75
2023-02-01 05:14:00-05:00,404.75
2023-02-01 05:15:00-05:00,404.75
2023-02-01 05:16:00-05:00,404.75
2023-02-01 05:17:00-05:00,404.75
2023-02-01 05:18:00-05:00,404.76
2023-02-01 05:19:00-05:00,404.78
2023-02-01 05:20:00-05:00,404.8
2023-02-01 05:21:00-05:00,404.82
2023-02-01 05:22:00-05:00,404.82
2023-02-01 05:23:00-05:00,404.74
2023-02-01 05:24:00-05:00,404.74
2023-02-01 05:25:00-05:00,404.76
2023-02-01 05:26:00-05:00,404.81
2023-02-01 05:27:00-05:00,404.88
2023-02-01 05:28:00-05:00,404.81
2023-02-01 05:29:00-05:00,404.81
2023-02-01 05:30:00-05:00,404.8
2023-02-01 05:31:00-05:00,404.8
2023-02-01 05:32:00-05:00,404.78
2023-02-01 05:33:00-05:00,404.78
2023-02-01 05:34:00-05:00,404.78
2023-02-01 05:35:00-05:00,404.72
2023-02-01 05:37:00-05:00,404.69
2023-02-01 05:38:00-05:00,404.69
2023-02-01 05:39:00-05:00,404.68
2023-02-01 05:40:00-05:00,404.66
2023-02-01 05:41:00-05:00,404.66
2023-02-01 05:42:00-05:00,404.7
2023-02-01 05:43:00-05:00,404.75
2023-02-01 05:44:00-05:00,404.77
2023-02-01 05:45:00-05:00,404.77
2023-02-01 05:46:00-05:00,404.76
2023-02-01 05:47:00-05:00,404.72
2023-02-01 05:48:00-05:00,404.72
2023-02-01 05:49:00-05:00,404.78
2023-02-01 05:50:00-05:00,404.8
2023-02-01 05:51:00-05:00,404.84
2023-02-01 05:52:00-05:00,404.84
2023-02-01 05:53:00-05:00,404.85
2023-02-01 05:54:00-05:00,404.8
2023-02-01 05:55:00-05:00,404.8
2023-02-01 05:56:00-05:00,404.8
2023-02-01 05:57:00-05:00,404.8
2023-02-01 05:58:00-05:00,404.8
2023-02-01 05:59:00-05:00,404.77
2023-02-01 06:00:00-05:00,404.8
2023-02-01 06:02:00-05:00,404.8
2023-02-01 06:03:00-05:00,404.87
2023-02-01 06:04:00-05:00,404.91
2023-02-01 06:05:00-05:00,404.91
2023-02-01 06:06:00-05:00,404.82
2023-02-01 06:07:00-05:00,404.78
2023-02-01 06:08:00-05:00,404.75
2023-02-01 06:09:00-05:00,404.78
2023-02-01 06:10:00-05:00,404.79
2023-02-01 06:11:00-05:00,404.79
2023-02-01 06:12:00-05:00,404.84
2023-02-01 06:13:00-05:00,404.84
2023-02-01 06:14:00-05:00,404.8
2023-02-01 06:15:00-05:00,404.8
2023-02-01 06:16:00-05:00,404.82
2023-02-01 06:17:00-05:00,404.87
2023-02-01 06:18:00-05:00,404.91
2023-02-01 06:19:00-05:00,405.0
2023-02-01 06:20:00-05:00,405.04
2023-02-01 06:21:00-05:00,405.07
2023-02-01 06:22:00-05:00,405.07
2023-02-01 06:23:00-05:00,405.07
2023-02-01 06:24:00-05:00,405.13
2023-02-01 06:25:00-05:00,405.2
2023-02-01 06:26:00-05:00,405.13
2023-02-01 06:27:00-05:00,405.13
2023-02-01 06:28:00-05:00,405.13
2023-02-01 06:29:00-05:00,405.18
2023-02-01 06:30:00-05:00,405.18
2023-02-01 06:31:00-05:00,405.18
2023-02-01 06:32:00-05:00,405.18
2023-02-01 06:33:00-05:00,405.23
2023-02-01 06:34:00-05:00,405.23
2023-02-01 06:35:00-05:00,405.23
2023-02-01 06:36:00-05:00,405.2
2023-02-01 06:37:00-05:00,405.17
2023-02-01 06:38:00-05:00,405.17
2023-02-01 06:39:00-05:00,405.14
2023-02-01 06:40:00-05:00,405.14
2023-02-01 06:41:00-05:00,405.15
2023-02-01 06:42:00-05:00,405.2
2023-02-01 06:43:00-05:00,405.23
