,SPY_Low
2023-01-03 04:00:00-05:00,383.01
2023-01-03 04:01:00-05:00,385.72
2023-01-03 04:02:00-05:00,386.04
2023-01-03 04:03:00-05:00,386.06
2023-01-03 04:04:00-05:00,386.44
2023-01-03 04:05:00-05:00,386.47
2023-01-03 04:06:00-05:00,386.08
2023-01-03 04:07:00-05:00,385.97
2023-01-03 04:08:00-05:00,385.91
2023-01-03 04:09:00-05:00,385.91
2023-01-03 04:10:00-05:00,386.05
2023-01-03 04:11:00-05:00,386.13
2023-01-03 04:12:00-05:00,386.34
2023-01-03 04:13:00-05:00,386.44
2023-01-03 04:14:00-05:00,386.38
2023-01-03 04:15:00-05:00,386.41
2023-01-03 04:16:00-05:00,386.41
2023-01-03 04:17:00-05:00,386.69
2023-01-03 04:18:00-05:00,386.52
2023-01-03 04:19:00-05:00,386.25
2023-01-03 04:20:00-05:00,386.39
2023-01-03 04:21:00-05:00,386.4
2023-01-03 04:22:00-05:00,386.46
2023-01-03 04:23:00-05:00,386.56
2023-01-03 04:24:00-05:00,386.61
2023-01-03 04:25:00-05:00,386.71
2023-01-03 04:26:00-05:00,386.6
2023-01-03 04:27:00-05:00,386.53
2023-01-03 04:28:00-05:00,386.43
2023-01-03 04:29:00-05:00,386.42
2023-01-03 04:30:00-05:00,386.55
2023-01-03 04:31:00-05:00,386.43
2023-01-03 04:32:00-05:00,386.48
2023-01-03 04:33:00-05:00,386.62
2023-01-03 04:34:00-05:00,386.62
2023-01-03 04:35:00-05:00,386.63
2023-01-03 04:36:00-05:00,386.6
2023-01-03 04:37:00-05:00,386.51
2023-01-03 04:38:00-05:00,386.48
2023-01-03 04:39:00-05:00,386.41
2023-01-03 04:40:00-05:00,386.47
2023-01-03 04:41:00-05:00,386.61
2023-01-03 04:42:00-05:00,386.66
2023-01-03 04:43:00-05:00,386.55
2023-01-03 04:44:00-05:00,386.49
2023-01-03 04:45:00-05:00,386.53
2023-01-03 04:46:00-05:00,386.61
2023-01-03 04:47:00-05:00,386.67
2023-01-03 04:48:00-05:00,386.63
2023-01-03 04:49:00-05:00,386.7
2023-01-03 04:50:00-05:00,386.68
2023-01-03 04:51:00-05:00,386.76
2023-01-03 04:52:00-05:00,386.75
2023-01-03 04:53:00-05:00,386.73
2023-01-03 04:54:00-05:00,386.68
2023-01-03 04:55:00-05:00,386.61
2023-01-03 04:56:00-05:00,386.6
2023-01-03 04:57:00-05:00,386.58
2023-01-03 04:58:00-05:00,386.64
2023-01-03 04:59:00-05:00,386.72
2023-01-03 05:00:00-05:00,386.68
2023-01-03 05:01:00-05:00,386.68
2023-01-03 05:02:00-05:00,386.6
2023-01-03 05:03:00-05:00,386.6
2023-01-03 05:04:00-05:00,386.64
2023-01-03 05:05:00-05:00,386.58
2023-01-03 05:06:00-05:00,386.7
2023-01-03 05:07:00-05:00,386.64
2023-01-03 05:08:00-05:00,386.37
